@relation cmc-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute wife-age numeric
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute number-of-children numeric
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-index {1,2,3,4}
@attribute media-exposure {0,1}
@attribute contraceptive-method {1,2,3}

@data
0.242424,2,3,0.1875,1,1,2,3,0,1
0.878788,1,3,0.625,1,1,3,4,0,1
0.818182,2,3,0.4375,1,1,3,4,0,1
0.787879,3,2,0.5625,1,1,3,3,0,1
0.606061,3,3,0.5,1,1,3,2,0,1
0.090909,4,4,0,1,1,3,3,0,1
0.666667,2,3,0.375,1,1,3,2,0,1
0.151515,3,3,0.0625,1,0,3,2,0,1
0.333333,2,3,0.1875,1,1,3,4,0,1
0.878788,1,1,0.5,1,1,2,2,1,1
0.666667,1,3,0.125,1,0,3,3,1,1
0.787879,1,4,0.25,1,1,1,3,0,1
0.848485,4,4,0.0625,1,0,1,4,0,1
0.787879,2,4,0.0625,1,0,3,3,0,1
0.666667,3,4,0.125,1,1,2,3,0,1
0.30303,2,4,0,1,1,4,1,0,1
0.969697,1,1,0.4375,1,1,2,4,0,1
0.69697,2,2,0.375,1,1,2,4,0,1
0.636364,2,2,0.5,1,1,2,3,0,1
0.69697,2,1,0.3125,1,1,2,1,1,1
0.30303,3,4,0.0625,1,0,4,1,0,1
0.242424,3,4,0,1,0,3,1,0,1
0.909091,4,4,0.0625,0,1,1,4,0,1
0.69697,4,4,0.0625,1,1,1,4,0,1
0.969697,4,4,0.3125,1,1,1,4,0,1
0.727273,2,4,0.5,1,1,3,3,0,1
0.666667,4,4,0.0625,1,0,1,4,0,1
0.393939,4,4,0,1,0,1,4,0,1
0.242424,4,4,0,1,0,2,2,0,1
0.818182,1,2,0.5,1,1,2,4,0,1
0.454545,3,4,0.125,1,1,1,4,0,1
0.454545,4,4,0.125,1,1,3,2,0,1
0.30303,2,4,0,1,0,1,2,0,1
0.515152,2,2,0.125,1,1,3,1,0,1
0.242424,2,3,0.0625,1,1,3,3,0,1
0.787879,1,3,0.5625,1,1,3,2,1,1
0.818182,1,2,0.5,1,0,3,1,0,1
0.272727,3,3,0.25,1,1,3,2,0,1
0.787879,2,2,0.1875,1,1,3,4,0,1
