@RELATION knn-data

@ATTRIBUTE x     NUMERIC
@ATTRIBUTE y     NUMERIC
@ATTRIBUTE class {1,2,3}

@DATA
%1,1,1
%10,10,3
%55,19,1
%89,17,2
%400,200,2
%430,200,1
%100,600,2
%-40,120,1
%30,500,1
%55,170,1
%240,200,2
%200,240,2
%300,200,2
%200,300,2

238,144,2
385,149,2
104,189,1
481,259,3
154,295,2
199,376,2
243,149,1
177,294,1
437,392,1
40,1,2
189,416,2
174,273,1
67,315,1
190,259,1
408,394,3
188,186,2
77,479,2
479,382,3
297,286,1
58,182,3
496,161,2
420,290,3
184,411,1
96,411,2
389,441,1
323,47,2
332,373,3
54,385,2
45,403,1
193,352,1
263,204,1
115,244,2
185,319,2
366,406,2
278,213,3
97,100,2
2,115,2
466,399,2
102,319,2
62,117,3
435,90,1
496,377,1
89,84,2
183,485,3
99,432,2
331,450,1
268,378,3
494,368,3
457,327,1
203,227,1
310,330,1
314,302,1
234,56,2
6,269,1
146,144,2
11,178,3
4,297,2
23,144,1
473,472,1
273,2,3
58,175,2
443,65,2
209,438,3
115,297,3
93,105,3
248,321,2
293,273,2
274,204,3
379,140,1
205,229,1
166,138,3
434,317,2
421,223,2
43,91,1
363,393,2
97,471,1
111,362,1
90,206,1
344,359,3
176,435,3
157,447,3
38,151,3
44,434,2
405,5,2
367,410,1
116,58,1
416,248,3
183,41,1
488,451,2
102,73,2
6,462,1
467,400,1
310,255,1
312,500,2
248,121,1
162,6,3
456,308,3
381,99,1
60,488,3
387,221,2
