@relation adult-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute income {>50K,<=50K}

@data
0.30137,State-gov,0.044302,Bachelors,0.8,Never-married,Adm-clerical,Not-in-family,White,Male,0.02174,0,0.397959,United-States,<=50K
0.452055,Self-emp-not-inc,0.048238,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.122449,United-States,<=50K
0.287671,Private,0.138113,HS-grad,0.533333,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.493151,Private,0.151068,11th,0.4,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,0.397959,United-States,<=50K
0.150685,Private,0.221488,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,0.397959,Cuba,<=50K
0.273973,Private,0.184932,Masters,0.866667,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.438356,Private,0.100448,9th,0.266667,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,0.153061,Jamaica,<=50K
0.479452,Self-emp-not-inc,0.134036,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.44898,United-States,>50K
0.191781,Private,0.022749,Masters,0.866667,Never-married,Prof-specialty,Not-in-family,White,Female,0.140841,0,0.5,United-States,>50K
0.342466,Private,0.099947,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.051781,0,0.397959,United-States,>50K
0.273973,Private,0.182135,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,0.806122,United-States,>50K
0.178082,State-gov,0.087619,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0.397959,India,>50K
0.082192,Private,0.074698,Bachelors,0.8,Never-married,Adm-clerical,Own-child,White,Female,0,0,0.295918,United-States,<=50K
0.205479,Private,0.130896,Assoc-acdm,0.733333,Never-married,Sales,Not-in-family,Black,Male,0,0,0.5,United-States,<=50K
0.315068,Private,0.074359,Assoc-voc,0.666667,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0.397959,United-States,>50K
0.232877,Private,0.15838,7th-8th,0.2,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,0.44898,Mexico,<=50K
0.109589,Self-emp-not-inc,0.111701,HS-grad,0.533333,Never-married,Farming-fishing,Own-child,White,Male,0,0,0.346939,United-States,<=50K
0.205479,Private,0.118539,HS-grad,0.533333,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,0.397959,United-States,<=50K
0.287671,Private,0.011275,11th,0.4,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.5,United-States,<=50K
0.356164,Self-emp-not-inc,0.190088,Masters,0.866667,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.44898,United-States,>50K
0.315068,Private,0.123089,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.602041,United-States,>50K
0.506849,Private,0.19686,HS-grad,0.533333,Separated,Other-service,Unmarried,Black,Female,0,0,0.193878,United-States,<=50K
0.246575,Federal-gov,0.043846,9th,0.266667,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,0.397959,United-States,<=50K
0.356164,Private,0.071143,11th,0.4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.468779,0.397959,United-States,<=50K
0.575342,Private,0.065695,HS-grad,0.533333,Divorced,Tech-support,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.534247,Local-gov,0.138932,Bachelors,0.8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,United-States,>50K
0.027397,Private,0.105954,HS-grad,0.533333,Never-married,Craft-repair,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.506849,Private,0.114048,Some-college,0.6,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,0.602041,South,>50K
0.30137,Private,0.241083,HS-grad,0.533333,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,0.806122,United-States,<=50K
0.438356,Private,0.122982,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.082192,Local-gov,0.121177,Assoc-acdm,0.733333,Never-married,Protective-serv,Not-in-family,White,Male,0,0,0.520408,United-States,<=50K
0.041096,Private,0.172322,Some-college,0.6,Never-married,Sales,Own-child,Black,Male,0,0,0.438776,United-States,<=50K
0.383562,Private,0.254448,Bachelors,0.8,Divorced,Exec-managerial,Own-child,White,Male,0,0.323232,0.397959,United-States,<=50K
0.178082,Federal-gov,0.032373,Some-college,0.6,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.068493,State-gov,0.203221,Some-college,0.6,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0.142857,United-States,<=50K
0.424658,Private,0.156288,11th,0.4,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,0.397959,Puerto-Rico,<=50K
0.054795,Private,0.125586,Some-college,0.6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.027397,Private,0.361178,HS-grad,0.533333,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,0.244898,United-States,<=50K
0.191781,Private,0.04881,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.377551,United-States,>50K
0.424658,Self-emp-not-inc,0.171956,Assoc-acdm,0.733333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.191781,Private,0.336582,9th,0.266667,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.428571,United-States,<=50K
0.493151,Self-emp-not-inc,0.051766,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.09589,Private,0.109141,Bachelors,0.8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.5,United-States,<=50K
